תאריך,סוג פעילות / מקום,עיר,מלון,כתובת המלון,סוג תחבורה,וואצ'ר?
7/29/2026,Akihabara,טוקיו,,,רכבת,
7/29/2026,בתי קפה נושאיים ב-Akihabara,טוקיו,,,הליכה,
7/30/2026,נסיעה מ-Tokyo ל-Hakone,האקונה,Hakone Ashinoko Hanaori,"Ashigarashimo District, Motohakone, Hakone, Japan",שינקנסן,
7/30/2026,Hakone-Yumoto,האקונה,,,רכבת,V
7/30/2026,רכבת Tozan,האקונה,,,רכבת,
7/30/2026,Gora,האקונה,,,רכבל,
7/30/2026,עמק Owakudani,האקונה,,,רכבל,
7/30/2026,תצפית על הר Fuji,האקונה,,,רכבל,
7/30/2026,אגם אשי,האקונה,,,הליכה,
7/30/2026,שייט ספינת הפיראטים,האקונה,,,ספינה,
7/30/2026,מקדש Hakone Shrine,האקונה,,,אוטובוס + הליכה,
7/30/2026,אונסן וארוחת ערב במלון,האקונה,Hakone Ashinoko Hanaori,"Ashigarashimo District, Motohakone, Hakone, Japan",הליכה,
7/31/2026,המוזיאון הפתוח של Hakone,האקונה,,,אוטובוס,
7/31/2026,מעבר ל-Kyoto,קיוטו,Cross Hotel Kyoto,"71-1 Daikokucho, Nakagyo Ward, Kyoto, Japan",רכבת + שינקנסן,
7/31/2026,אזור Kawaramachi,קיוטו,,,הליכה,
7/31/2026,שוק Nishiki,קיוטו,,,הליכה,
7/31/2026,רחוב Kiyamachi-dori,קיוטו,,,הליכה,
8/1/2026,מקדש Kinkaku-ji,קיוטו,,,מונית,
8/1/2026,אזור Arashiyama,קיוטו,,,רכבת,
8/1/2026,גשר Togetsukyo,קיוטו,,,הליכה,
8/1/2026,פארק הקופים Iwatayama,קיוטו,,,הליכה,
8/1/2026,רכבת Sagano Scenic,קיוטו,,,רכבת,V
8/1/2026,Kameoka Hozugawa river ride,קיוטו,,,שייט,V
8/1/2026,יער הבמבוקים Arashiyama,קיוטו,,,הליכה,
8/1/2026,סמטת Pontocho,קיוטו,,,הליכה,
8/2/2026,טקס תה ברובע Gion,קיוטו,,,הליכה,
8/2/2026,Team lab ,קיוטו,,,,להזמין
8/2/2026,רחוב Hanamikoji-dori,קיוטו,,,הליכה,
8/2/2026,מקדש Kodaiji,קיוטו,,,הליכה,
8/2/2026,רחוב Ninenzaka,קיוטו,,,הליכה,
8/2/2026,מקדש Kiyomizu-dera,קיוטו,,,הליכה,
8/2/2026,מקדש Yasaka,קיוטו,,,מונית,
8/2/2026,פארק Maruyama,קיוטו,,,הליכה,
8/3/2026,רכבת ל-Kurama,קיוטו,,,רכבת,
8/3/2026,קרונית ההר Kurama,קיוטו,,,קרונית,
8/3/2026,מסלול הליכה Kurama-Kibune,קיוטו,,,הליכה,
8/3/2026,מקדש Kifune,קיוטו,,,הליכה,
8/3/2026,עיירת Kibune,קיוטו,,,הליכה,
8/4/2026,מקדש Fushimi Inari,קיוטו,,,רכבת,
8/4/2026,פארק Nara,נארה,,,רכבת,
8/4/2026,מעבר ל-Osaka,אוסקה,Cross Hotel Osaka,"2 Chome-5-15 Shinsaibashisuji, Chuo Ward, Osaka, Japan",רכבת,
8/4/2026,אזור Shinsaibashi,אוסקה,,,הליכה,
8/4/2026,אזור Dotonbori,אוסקה,,,הליכה,
8/5/2026,שוק Kuromon,אוסקה,,,הליכה,
8/5/2026,אזור Shinsaibashi,אוסקה,,,הליכה,
8/5/2026,רובע Shinsekai,אוסקה,,,רכבת,
8/6/2026,Umeda Sky Building,אוסקה,,,רכבת,
8/6/2026,Den Den Town,אוסקה,,,רכבת,
8/6/2026,Namba Parks,אוסקה,,,הליכה,
8/6/2026,מופע סומו The Sumo Hall Hirakuza,אוסקה,,,הליכה,
8/6/2026,Amerikamura,אוסקה,,,הליכה,
8/7/2026,מעבר מ-Osaka ל-Tokyo,טוקיו,Shibuya Stream Hotel,"3 Chome-21-3 Shibuya, Tokyo, Japan",שינקנסן,
8/7/2026,Tokyo Tower,טוקיו,,,הליכה,
8/7/2026,שכונת Azabu-Juban,טוקיו,,,הליכה,
8/7/2026,Roppongi Hills,טוקיו,,,הליכה,
8/7/2026,Mori Art Museum,טוקיו,,,הליכה,
8/7/2026,The National Art Center,טוקיו,,,הליכה,
8/7/2026,מסעדת Gonpachi Nishi-Azabu,טוקיו,,,הליכה,
8/8/2026,מעבר החציה Shibuya Crossing,טוקיו,,,הליכה,
8/8/2026,פסל Hachiko,טוקיו,,,הליכה,
8/8/2026,רחוב Center-Gai,טוקיו,,,הליכה,
8/8/2026,Starbucks Shibuya,טוקיו,,,הליכה,
8/8/2026,Miyashita Park,טוקיו,,,הליכה,
8/8/2026,Shibuya Parco,טוקיו,,,הליכה,
8/8/2026,שכונת Daikanyama,טוקיו,,,הליכה,
8/8/2026,DAIKANYAMA T-SITE,טוקיו,,,הליכה,
8/8/2026,Log Road Daikanyama,טוקיו,,,הליכה,
8/9/2026,הבודהה הגדול Kotoku-in,קמקורה,,,רכבת,
8/9/2026,מקדש Hasedera,קמקורה,,,הליכה,
8/9/2026,רחוב Komachi-dori,קמקורה,,,הליכה,
8/9/2026,מקדש Tsurugaoka Hachimangu,קמקורה,,,הליכה,
8/9/2026,נסיעה בחשמלית Enoden,קמקורה,,,חשמלית,
8/9/2026,האי Enoshima,אנושימה,,,הליכה,
8/9/2026,רחוב Enoshima Benzaiten,אנושימה,,,הליכה,
8/9/2026,מקדש Enoshima Shrine,אנושימה,,,הליכה,
8/9/2026,Enoshima Sea Candle,אנושימה,,,הליכה,
8/10/2026,מקדש Meiji,טוקיו,,,רכבת,
8/10/2026,פארק Yoyogi,טוקיו,,,הליכה,
8/10/2026,רחוב Takeshita Street,טוקיו,,,הליכה,
8/10/2026,Animal Cafes ב-Harajuku,טוקיו,,,הליכה,
8/10/2026,Laforet Harajuku,טוקיו,,,הליכה,
8/10/2026,Omotesando,טוקיו,,,הליכה,
8/10/2026,Tokyu Plaza Omotesando,טוקיו,,,הליכה,
8/10/2026,Cat Street,טוקיו,,,הליכה,
8/11/2026,תצפית Tokyo Metropolitan Government Building,טוקיו,,,רכבת,
8/11/2026,Shinjuku Gyoen,טוקיו,,,מונית,
8/11/2026,Yoyogi Broadway,טוקיו,,,הליכה,
8/11/2026,שלט החתול התלת מימדי,טוקיו,,,הליכה,
8/11/2026,Omoide Yokocho,טוקיו,,,הליכה,
8/11/2026,Maguro Mart,טוקיו,מסעדה,"164-0001 5-50-3 Nakano, Nakano, Tokyo(397m from Nakano Station)",16:00,
8/11/2026,Kabukicho,טוקיו,,,הליכה,
8/11/2026,פסל Godzilla,טוקיו,,,הליכה,
8/12/2026,קניות ב-Shibuya,טוקיו,,,הליכה,
8/12/2026,קניות ב-Harajuku,טוקיו,,,הליכה,
8/12/2026,קניות ב-Ginza,טוקיו,,,רכבת,
8/12/2026,נסיעה לשדה Narita,טוקיו,,,הסעה,V
